"metric_id";"metric";"term";"Df";"Sum Sq";"Mean Sq";"F value";"Pr(>F)";"p_value";"p_value_formatted";"significance"
"integrated_fluorescence";"Integrated fluorescence";"genotype          ";1;2630687984940,61;2630687984940,61;41,8965020083481;6,12317399544555e-09;6,12317399544555e-09;"6.123e-09";"****"
"integrated_fluorescence";"Integrated fluorescence";"treatment         ";3;2890400363526,82;963466787842,272;15,3442325516691;4,79620379988506e-08;4,79620379988506e-08;"4.796e-08";"****"
"integrated_fluorescence";"Integrated fluorescence";"genotype:treatment";3;504564257291,849;168188085763,95;2,67857401308222;0,0521824466501437;0,0521824466501437;"5.218e-02";"ns"
"integrated_fluorescence";"Integrated fluorescence";"Residuals         ";84;5274373280398,93;62790158099,9873;NA;NA;NA;NA;"n.c."
"positive_area";"Extent of spinal mineralization";"genotype          ";1;10290,7483216592;10290,7483216592;61,3636576758332;1,3052734991331e-11;1,3052734991331e-11;"1.305e-11";"****"
"positive_area";"Extent of spinal mineralization";"treatment         ";3;5377,44642878555;1792,48214292852;10,6885580300515;5,05177650174877e-06;5,05177650174877e-06;"5.052e-06";"****"
"positive_area";"Extent of spinal mineralization";"genotype:treatment";3;5457,33214967688;1819,11071655896;10,8473440216606;4,27434479726523e-06;4,27434479726523e-06;"4.274e-06";"****"
"positive_area";"Extent of spinal mineralization";"Residuals         ";84;14086,8861433566;167,70102551615;NA;NA;NA;NA;"n.c."
"mean_positive_fluorescence";"Mineralization density";"genotype          ";1;3747536,24273885;3747536,24273885;46,3768376259558;1,49451995766783e-09;1,49451995766783e-09;"1.495e-09";"****"
"mean_positive_fluorescence";"Mineralization density";"treatment         ";3;5464155,96661924;1821385,32220642;22,5401666243879;9,73205673443808e-11;9,73205673443808e-11;"9.732e-11";"****"
"mean_positive_fluorescence";"Mineralization density";"genotype:treatment";3;148249,133130221;49416,3777100735;0,611541870892771;0,609425356133173;0,609425356133173;"6.094e-01";"ns"
"mean_positive_fluorescence";"Mineralization density";"Residuals         ";82;6626108,79989367;80806,2048767521;NA;NA;NA;NA;"n.c."
