Replicate;Calcified vertebrae all;Genotype;Treatment
1;8;2_het;_-PPi_+MB
1;13;3_mut;_-PPi_+MB
1;9;2_het;_-PPi_+MB
1;11;2_het;_-PPi_+MB
1;9;2_het;_-PPi_+MB
1;17;3_mut;_-PPi_+MB
1;9;2_het;_-PPi_+MB
1;13;3_mut;_-PPi_+MB
1;9;2_het;_-PPi_+MB
1;13;3_mut;_-PPi_+MB
1;9;2_het;_-PPi_+MB
1;11;3_mut;_-PPi_+MB
1;11;3_mut;_-PPi_+MB
1;10;2_het;_-PPi_+MB
1;13;3_mut;_-PPi_+MB
1;13;3_mut;_-PPi_+MB
1;15;3_mut;_-PPi_+MB
1;9;2_het;_-PPi_+MB
1;8;2_het;_-PPi_+MB
1;10;3_mut;_-PPi_+MB
1;16;3_mut;_-PPi_+MB
1;14;3_mut;_-PPi_+MB
1;13;3_mut;_-PPi_+MB
1;15;3_mut;_-PPi_-MB
1;14;3_mut;_-PPi_-MB
1;10;2_het;_-PPi_-MB
1;12;3_mut;_-PPi_-MB
1;6;3_mut;_-PPi_-MB
1;6;3_mut;_-PPi_-MB
1;12;3_mut;_-PPi_-MB
1;10;2_het;_-PPi_-MB
1;15;3_mut;_-PPi_-MB
1;10;3_mut;_-PPi_-MB
1;14;3_mut;_-PPi_-MB
1;12;3_mut;_-PPi_-MB
1;11;2_het;_-PPi_-MB
1;12;2_het;_-PPi_-MB
1;13;2_het;_-PPi_-MB
1;13;3_mut;_-PPi_-MB
1;11;2_het;_-PPi_-MB
1;7;2_het;_-PPi_-MB
1;12;2_het;_-PPi_-MB
1;14;2_het;_-PPi_-MB
1;9;2_het;_-PPi_-MB
1;12;2_het;_-PPi_-MB
1;7;3_mut;_+PPi_+MB
1;13;3_mut;_+PPi_+MB
1;10;2_het;_+PPi_+MB
1;14;2_het;_+PPi_+MB
1;13;2_het;_+PPi_+MB
1;12;2_het;_+PPi_+MB
1;14;3_mut;_+PPi_+MB
1;14;3_mut;_+PPi_+MB
1;14;3_mut;_+PPi_+MB
1;10;2_het;_+PPi_+MB
1;11;3_mut;_+PPi_+MB
1;12;2_het;_+PPi_+MB
1;13;3_mut;_+PPi_+MB
1;14;2_het;_+PPi_+MB
1;13;3_mut;_+PPi_+MB
1;14;3_mut;_+PPi_+MB
1;11;3_mut;_+PPi_+MB
1;15;3_mut;_+PPi_+MB
1;12;2_het;_+PPi_+MB
1;12;2_het;_+PPi_+MB
1;13;3_mut;_+PPi_+MB
1;12;2_het;_+PPi_+MB
1;13;3_mut;_+PPi_+MB
1;13;3_mut;_+PPi_-MB
1;19;3_mut;_+PPi_-MB
1;12;3_mut;_+PPi_-MB
1;15;3_mut;_+PPi_-MB
1;14;3_mut;_+PPi_-MB
1;15;2_het;_+PPi_-MB
1;12;2_het;_+PPi_-MB
1;10;3_mut;_+PPi_-MB
1;14;2_het;_+PPi_-MB
1;10;2_het;_+PPi_-MB
1;14;3_mut;_+PPi_-MB
1;13;3_mut;_+PPi_-MB
1;6;3_mut;_+PPi_-MB
1;19;2_het;_+PPi_-MB
1;12;2_het;_+PPi_-MB
1;12;2_het;_+PPi_-MB
1;16;3_mut;_+PPi_-MB
1;12;2_het;_+PPi_-MB
1;13;3_mut;_+PPi_-MB
1;16;3_mut;_+PPi_-MB
1;14;3_mut;_+PPi_-MB
1;19;3_mut;_+PPi_-MB
1;13;3_mut;_+PPi_-MB
1;13;3_mut;_+PPi_-MB
