genotype,fishID,Area number,Area,AP_axis,genotype_raw,genotype_label
2_het,1,1,155.205,19.798,2_het,abcc6a+/-
2_het,1,2,25.558,81.537,2_het,abcc6a+/-
2_het,1,3,1701.694,154.836,2_het,abcc6a+/-
2_het,1,4,2271.604,235.813,2_het,abcc6a+/-
2_het,1,5,2569.03,331.075,2_het,abcc6a+/-
2_het,1,6,1345.938,432.788,2_het,abcc6a+/-
2_het,1,7,1398.085,530.398,2_het,abcc6a+/-
2_het,2,1,436.76,24.764,2_het,abcc6a+/-
2_het,2,2,297.838,82.156,2_het,abcc6a+/-
2_het,2,3,1671.395,145.232,2_het,abcc6a+/-
2_het,2,4,3239.319,230.19,2_het,abcc6a+/-
2_het,2,5,4143.138,333.079,2_het,abcc6a+/-
2_het,2,6,3499.437,431.282,2_het,abcc6a+/-
2_het,2,7,3098.954,533.349,2_het,abcc6a+/-
2_het,3,1,876.405,29.768,2_het,abcc6a+/-
2_het,3,2,648.235,81.072,2_het,abcc6a+/-
2_het,3,3,3095.45,148.352,2_het,abcc6a+/-
2_het,3,4,5078.698,233.442,2_het,abcc6a+/-
2_het,3,5,3973.504,325.584,2_het,abcc6a+/-
2_het,3,6,3137.498,424.281,2_het,abcc6a+/-
2_het,3,7,2758.863,528.167,2_het,abcc6a+/-
2_het,4,1,173.962,14.315,2_het,abcc6a+/-
2_het,4,2,364.413,77.503,2_het,abcc6a+/-
2_het,4,3,1433.949,142.38,2_het,abcc6a+/-
2_het,4,4,2373.632,223.308,2_het,abcc6a+/-
2_het,4,5,2426.604,316.543,2_het,abcc6a+/-
2_het,4,6,1675.723,411.492,2_het,abcc6a+/-
2_het,4,7,1571.635,516.84,2_het,abcc6a+/-
2_het,5,1,1377.267,32.697,2_het,abcc6a+/-
2_het,5,2,1634.088,97.624,2_het,abcc6a+/-
2_het,5,3,4674.711,165.274,2_het,abcc6a+/-
2_het,5,4,5141.151,253.091,2_het,abcc6a+/-
2_het,5,5,4877.529,354.695,2_het,abcc6a+/-
2_het,5,6,3842.208,459.938,2_het,abcc6a+/-
2_het,5,7,3541.691,573.864,2_het,abcc6a+/-
3_mut,6,1,13435.465,138.679,3_mut,abcc6a-/-
3_mut,6,2,3561.478,295.528,3_mut,abcc6a-/-
3_mut,6,3,2774.704,392.311,3_mut,abcc6a-/-
3_mut,6,4,3247.564,489.939,3_mut,abcc6a-/-
3_mut,7,1,10620.745,135.378,3_mut,abcc6a-/-
3_mut,7,2,3589.098,299.574,3_mut,abcc6a-/-
3_mut,7,3,3113.588,399.046,3_mut,abcc6a-/-
3_mut,7,4,3251.068,500.306,3_mut,abcc6a-/-
2_het,8,1,75.851,10.764,2_het,abcc6a+/-
2_het,8,2,1694.48,142.076,2_het,abcc6a+/-
2_het,8,3,2095.787,220.586,2_het,abcc6a+/-
2_het,8,4,2811.628,307.364,2_het,abcc6a+/-
2_het,8,5,2545.12,401.08,2_het,abcc6a+/-
2_het,8,6,2111.246,496.904,2_het,abcc6a+/-
2_het,9,1,2160.302,138.571,2_het,abcc6a+/-
2_het,9,2,3362.576,221.875,2_het,abcc6a+/-
2_het,9,3,2961.681,311.737,2_het,abcc6a+/-
2_het,9,4,2319.423,408.184,2_het,abcc6a+/-
2_het,9,5,2520.386,509.69,2_het,abcc6a+/-
2_het,10,1,182.619,19.83,2_het,abcc6a+/-
2_het,10,2,125.319,75.926,2_het,abcc6a+/-
2_het,10,3,1203.924,143.189,2_het,abcc6a+/-
2_het,10,4,2467.827,220.787,2_het,abcc6a+/-
2_het,10,5,1647.279,315.002,2_het,abcc6a+/-
2_het,10,6,1216.291,416.612,2_het,abcc6a+/-
2_het,10,7,1539.48,517.019,2_het,abcc6a+/-
2_het,11,1,690.489,17.66,2_het,abcc6a+/-
2_het,11,2,1217.527,77.159,2_het,abcc6a+/-
2_het,11,3,3991.849,146.098,2_het,abcc6a+/-
2_het,11,4,4627.716,236.022,2_het,abcc6a+/-
2_het,11,5,4053.477,333.144,2_het,abcc6a+/-
2_het,11,6,3865.087,435.016,2_het,abcc6a+/-
2_het,11,7,2939.214,541.708,2_het,abcc6a+/-
3_mut,12,1,12725.808,161.747,3_mut,abcc6a-/-
3_mut,12,2,3418.228,318.877,3_mut,abcc6a-/-
3_mut,12,3,3600.022,416.769,3_mut,abcc6a-/-
3_mut,12,4,3860.759,514.132,3_mut,abcc6a-/-
3_mut,13,1,6660.639,146.813,3_mut,abcc6a-/-
3_mut,13,2,2030.036,341.695,3_mut,abcc6a-/-
3_mut,13,3,2676.004,425.329,3_mut,abcc6a-/-
3_mut,13,4,2753.298,523.625,3_mut,abcc6a-/-
2_het,14,1,496.533,23.03,2_het,abcc6a+/-
2_het,14,2,777.47,80.878,2_het,abcc6a+/-
2_het,14,3,2637.048,139.544,2_het,abcc6a+/-
2_het,14,4,3169.652,223.521,2_het,abcc6a+/-
2_het,14,5,2812.865,313.52,2_het,abcc6a+/-
2_het,14,6,2558.931,410.735,2_het,abcc6a+/-
2_het,14,7,1990.874,508.647,2_het,abcc6a+/-
3_mut,15,1,563.933,18.19,3_mut,abcc6a-/-
3_mut,15,2,1229.07,64.415,3_mut,abcc6a-/-
3_mut,15,3,2922.519,119.059,3_mut,abcc6a-/-
3_mut,15,4,3698.546,195.988,3_mut,abcc6a-/-
3_mut,15,5,3385.249,287.858,3_mut,abcc6a-/-
3_mut,15,6,3497.995,383.431,3_mut,abcc6a-/-
3_mut,15,7,2960.238,487.5,3_mut,abcc6a-/-
